"";"Sample_ID";"Treatment";"Nummer_Green";"Initial_W_Green_with_label_cord";"Nummer_Red";"Initial_W_Red_with_label_cord";"Final_W_Green";"Final_W_Red";"Wt_Red";"Wt_Green";"Parzelle";"Initial_W_Green";"Initial_W_Red";"Fraction_decomposed_green_tea_ag";"Predicted_labile_fraction_red_tea_ar";"incubation_time_red_and_green_tea_t";"Date_of_burial";"recovery_date";"S";"k";"Wt2_Green";"Wt2_Red"
"1";1;"Cut & Carry";2;2,085;1;2,274;0,946;1,306;0,645085605971734;0,515380372234291;"1a";1,8355375;2,0245375;0,484619627765709;0,317707879485358;143;"25.04.2019";"15. Sep 19";0,424442247309134;NA;NA;NA
"2";2;"Cut & Compost";6;2,134;5;2,243;0,956;1,288;0,646087670786228;0,507286270504036;"2a";1,8845375;1,9935375;0,492713729495964;0,323014226462912;143;"25.04.2019";"15. Sep 19";0,414829299886029;NA;NA;NA
"3";3;"Compost with FM";10;2,084;9;2,21;0,938;1,384;0,705928858795101;0,511300532150474;"3.1a";1,8345375;1,9605375;0,488699467849526;0,320382548993989;143;"25.04.2019";"15. Sep 19";0,419596831532629;0,0174791129092458;0,551434962147599;0,705928858795101
"4";4;"Compost without FM";14;2,116;13;2,243;0,946;1,293;0,648595775098286;0,506820784473926;"3.3a";1,8665375;1,9935375;0,493179215526074;0,323319390701179;143;"25.04.2019";"15. Sep 19";0,414276466121052;NA;NA;NA
"5";5;"Haarmehlpellets";18;2,115;17;2,224;0,95;1,358;0,687755993492147;0,509236614112555;"4a";1,8655375;1,9745375;0,490763385887445;0,321735616401271;143;"25.04.2019";"15. Sep 19";0,417145622461466;0,0246386146988705;0,523714758189108;0,687755993492147
"6";6;"Ambient";22;1,926;21;2,294;0,759;1,326;0,648557436584069;0,452718773066514;"5a";1,6765375;2,0445375;0,547281226933486;0,35878769271649;143;"25.04.2019";"15. Sep 19";0,35002229580346;0,0271936602447637;0,463922756528597;0,648557436584069
"7";7;"Cut & Compost";26;2,921;25;2,222;0,817;1,278;0,647896427824566;0,30581640721869;"2b";2,6715375;1,9725375;0,69418359278131;0,45509423184713;143;"25.04.2019";"15. Sep 19";0,17555392781317;0,01039067272133;0,462914478674429;0,647896427824566
"8";8;"Ambient";30;1,944;29;2,305;0,877;1,424;0,692762841835773;0,517545347919418;"5b";1,6945375;2,0555375;0,482454652080582;0,316288560508885;143;"25.04.2019";"15. Sep 19";0,427013477338976;0,0248512955395336;0,531352015988625;0,692762841835773
"9";9;"Compost with FM";34;2,088;33;2,223;0,88;1,35;0,684050847779685;0,478641311368411;"3.1b";1,8385375;1,9735375;0,521358688631589;0,341793344566077;143;"25.04.2019";"15. Sep 19";0,380809158394787;0,018056785947792;0,518063068533505;0,684050847779685
"10";10;"Compost without FM";38;2,042;37;2,243;0,842;1,308;0,656120088034461;0,469725180086888;"3.3b";1,7925375;1,9935375;0,530274819913112;0,347638599277955;143;"25.04.2019";"15. Sep 19";0,370219928844285;0,0316579975868694;0,475458540081552;0,656120088034461
"11";11;"Cut & Carry";42;2,151;41;2,279;0,91;1,298;0,639554578321416;0,47856011254051;"1b";1,9015375;2,0295375;0,52143988745949;0,341846577051827;143;"25.04.2019";"15. Sep 19";0,380712722732197;NA;NA;NA
"12";12;"Haarmehlpellets";46;2,062;45;2,275;0,835;1,013;0,500114167227217;0,460680123859506;"4b";1,8125375;2,0255375;0,539319876140494;0,353568374856951;143;"25.04.2019";"15. Sep 19";0,359477581780886;NA;NA;NA
"13";13;"Compost with FM";50;2,054;49;2,203;0,902;1,329;0,680304319727673;0,499851069872474;"3.1c";1,8045375;1,9535375;0,500148930127526;0,327888609774815;143;"25.04.2019";"15. Sep 19";0,40599889533548;0,0258000169219628;0,512348255816488;0,680304319727673
"14";14;"Compost without FM";54;2,004;53;2,23;0,807;1,377;0,695265805368492;0,459950271795274;"3.3c";1,7545375;1,9805375;0,540049728204726;0,354046852694785;143;"25.04.2019";"15. Sep 19";0,35861077410365;0,0137849542145541;0,535169942246867;0,695265805368492
"15";15;"Cut & Compost";58;2,136;57;2,263;0,846;1,258;0,624771080747192;0,448440595535472;"2c";1,8865375;2,0135375;0,551559404464528;0,361592388675083;143;"25.04.2019";"15. Sep 19";0,344941324863981;NA;NA;NA
"16";16;"Ambient";62;1,976;61;2,288;0,85;1,452;0,712275344456504;0,492314820848085;"5c";1,7265375;2,0385375;0,507685179151915;0,332829238588904;143;"25.04.2019";"15. Sep 19";0,397048480817203;0,0139765433597689;0,561115652232566;0,712275344456504
"17";17;"Haarmehlpellets";66;2,047;65;2,235;0,851;1,417;0,713660658637774;0,473425450094921;"4c";1,7975375;1,9855375;0,526574549905078;0,345212769058911;143;"25.04.2019";"15. Sep 19";0,37461454880632;0,0123690286898968;0,563228758284431;0,713660658637774
"18";18;"Cut & Carry";70;2,077;69;2,296;0,888;1,325;0,647434996915522;0,485899742139354;"1c";1,8275375;2,0465375;0,514100257860646;0,337034848383701;143;"25.04.2019";"15. Sep 19";0,389429622493295;NA;NA;NA
"19";19;"Cut & Compost";74;2,012;73;2,291;0,878;1,439;0,704860919772475;0,498145429529868;"2d";1,7625375;2,0415375;0,501854570470132;0,329006796792771;143;"25.04.2019";"15. Sep 19";0,403973194215995;0,0158994137241854;0,549805968203667;0,704860919772475
"20";20;"Compost without FM";78;2,035;77;2,266;0,839;1,279;0,634255499835733;0,469886518765358;"3.3d";1,7855375;2,0165375;0,530113481234642;0,347532828552877;143;"25.04.2019";"15. Sep 19";0,370411542476672;NA;NA;NA
"21";21;"Compost with FM";82;2,043;81;2,221;NA;1,287;0,652790017942849;NA;"3.1d";1,7935375;1,9715375;NA;NA;143;"25.04.2019";"15. Sep 19";NA;NA;NA;NA
"22";22;"Haarmehlpellets";86;2,06;85;2,183;0,913;1,336;0,690961514840028;0,504270140773113;"4d";1,8105375;1,9335375;0,495729859226887;0,324991546666558;143;"25.04.2019";"15. Sep 19";0,41124719806783;0,0210779609575958;0,528604339665405;0,690961514840028
"23";23;"Cut & Carry";90;2,003;89;2,249;0,998;1,286;0,643148728143383;0,569135248034331;"1d";1,7535375;1,9995375;0,430864751965669;0,28246715330766;143;"25.04.2019";"15. Sep 19";0,488284142558587;NA;NA;NA
"24";24;"Ambient";94;2,104;93;2,237;0,82;1,442;0,725520902121344;0,442158759259384;"5d";1,8545375;1,9875375;0,557841240740616;0,365710647136366;143;"25.04.2019";"15. Sep 19";0,337480711709482;0,00970938228692568;0,581319926786542;0,725520902121344
"25";25;"Weg";98;2,069;97;2,2;0,899;1,373;0,703908538031184;0,494081600406697;"Weg1";1,8195375;1,9505375;0,505918399593303;0,331670969804636;143;"25.04.2019";"15. Sep 19";0,399146793832181;0,015611004008093;0,548353240982349;0,703908538031184
"26";26;"Weg";102;2,075;101;2,237;0,797;1,47;0,739608686628554;0,436583745883062;"Weg2";1,8255375;1,9875375;0,563416254116938;0,369365525264311;143;"25.04.2019";"15. Sep 19";0,330859555680596;0,00853619210496361;0,602808902429787;0,739608686628554
"27";27;"Weg";106;2,062;105;2,251;0,886;1,292;0,645503768977599;0,488817472741943;"Weg3";1,8125375;2,0015375;0,511182527258057;0,335122036872265;143;"25.04.2019";"15. Sep 19";0,39289486073865;NA;NA;NA
"28";28;"Weg";110;2,092;109;2,211;0,88;1,396;0,711686623375796;0,477602219764862;"Weg4";1,8425375;1,9615375;0,522397780235138;0,342474554263416;143;"25.04.2019";"15. Sep 19";0,379575082856131;0,0128967341870318;0,560217639279747;0,711686623375796
